Nivel (pulgadas fraccionarias);Volumen lleno (galones estadounidenses)
0;0
 1/8;0.85
 1/4;2.39
 3/8;4.39
 1/2;6.76
 5/8;9.45
 3/4;12.41
 7/8;15.64
1    ;19.1
1 1/8;22.78
1 1/4;26.67
1 3/8;30.76
1 1/2;35.03
1 5/8;39.48
1 3/4;44.11
1 7/8;48.9
2    ;53.85
2 1/8;58.95
2 1/4;64.21
2 3/8;69.6
2 1/2;75.14
2 5/8;80.81
2 3/4;86.62
2 7/8;92.55
3    ;98.62
3 1/8;104.8
3 1/4;111.11
3 3/8;117.54
3 1/2;124.08
3 5/8;130.73
3 3/4;137.5
3 7/8;144.37
4    ;151.35
4 1/8;158.44
4 1/4;165.63
4 3/8;172.92
4 1/2;180.31
4 5/8;187.8
4 3/4;195.39
4 7/8;203.07
5    ;210.85
5 1/8;218.71
5 1/4;226.67
5 3/8;234.72
5 1/2;242.86
5 5/8;251.09
5 3/4;259.4
5 7/8;267.79
6    ;276.28
6 1/8;284.84
6 1/4;293.48
6 3/8;302.21
6 1/2;311.02
6 5/8;319.9
6 3/4;328.86
6 7/8;337.91
7    ;347.02
7 1/8;356.21
7 1/4;365.48
7 3/8;374.82
7 1/2;384.23
7 5/8;393.72
7 3/4;403.28
7 7/8;412.9
8    ;422.6
8 1/8;432.37
8 1/4;442.2
8 3/8;452.1
8 1/2;462.07
8 5/8;472.11
8 3/4;482.21
8 7/8;492.38
9    ;502.61
9 1/8;512.91
9 1/4;523.27
9 3/8;533.69
9 1/2;544.17
9 5/8;554.72
9 3/4;565.33
9 7/8;575.99
10    ;586.72
10 1/8;597.51
10 1/4;608.36
10 3/8;619.26
10 1/2;630.22
10 5/8;641.24
10 3/4;652.32
10 7/8;663.45
11    ;674.64
11 1/8;685.89
11 1/4;697.19
11 3/8;708.55
11 1/2;719.96
11 5/8;731.42
11 3/4;742.94
11 7/8;754.5
12    ;766.13
12 1/8;777.8
12 1/4;789.53
12 3/8;801.3
12 1/2;813.13
12 5/8;825.01
12 3/4;836.94
12 7/8;848.92
13    ;860.95
13 1/8;873.02
13 1/4;885.15
13 3/8;897.32
13 1/2;909.54
13 5/8;921.81
13 3/4;934.13
13 7/8;946.49
14    ;958.9
14 1/8;971.36
14 1/4;983.86
14 3/8;996.4
14 1/2;1009
14 5/8;1021.63
14 3/4;1034.31
14 7/8;1047.04
15    ;1059.81
15 1/8;1072.62
15 1/4;1085.48
15 3/8;1098.38
15 1/2;1111.32
15 5/8;1124.3
15 3/4;1137.33
15 7/8;1150.4
16    ;1163.51
16 1/8;1176.66
16 1/4;1189.85
16 3/8;1203.08
16 1/2;1216.35
16 5/8;1229.66
16 3/4;1243.02
16 7/8;1256.41
17    ;1269.84
17 1/8;1283.31
17 1/4;1296.82
17 3/8;1310.36
17 1/2;1323.95
17 5/8;1337.57
17 3/4;1351.23
17 7/8;1364.93
18    ;1378.66
18 1/8;1392.43
18 1/4;1406.24
18 3/8;1420.09
18 1/2;1433.97
18 5/8;1447.88
18 3/4;1461.84
18 7/8;1475.82
19    ;1489.85
19 1/8;1503.91
19 1/4;1518
19 3/8;1532.13
19 1/2;1546.29
19 5/8;1560.48
19 3/4;1574.71
19 7/8;1588.97
20    ;1603.27
20 1/8;1617.6
20 1/4;1631.96
20 3/8;1646.36
20 1/2;1660.78
20 5/8;1675.24
20 3/4;1689.73
20 7/8;1704.26
21    ;1718.81
21 1/8;1733.4
21 1/4;1748.01
21 3/8;1762.66
21 1/2;1777.34
21 5/8;1792.05
21 3/4;1806.79
21 7/8;1821.56
22    ;1836.36
22 1/8;1851.19
22 1/4;1866.05
22 3/8;1880.94
22 1/2;1895.86
22 5/8;1910.8
22 3/4;1925.78
22 7/8;1940.78
23    ;1955.82
23 1/8;1970.88
23 1/4;1985.97
23 3/8;2001.08
23 1/2;2016.23
23 5/8;2031.4
23 3/4;2046.6
23 7/8;2061.82
24    ;2077.07
24 1/8;2092.35
24 1/4;2107.66
24 3/8;2122.99
24 1/2;2138.35
24 5/8;2153.73
24 3/4;2169.14
24 7/8;2184.58
25    ;2200.04
25 1/8;2215.53
25 1/4;2231.04
25 3/8;2246.57
25 1/2;2262.14
25 5/8;2277.72
25 3/4;2293.33
25 7/8;2308.97
26    ;2324.62
26 1/8;2340.31
26 1/4;2356.01
26 3/8;2371.74
26 1/2;2387.49
26 5/8;2403.27
26 3/4;2419.07
26 7/8;2434.89
27    ;2450.73
27 1/8;2466.6
27 1/4;2482.49
27 3/8;2498.4
27 1/2;2514.34
27 5/8;2530.29
27 3/4;2546.27
27 7/8;2562.27
28    ;2578.29
28 1/8;2594.33
28 1/4;2610.39
28 3/8;2626.48
28 1/2;2642.58
28 5/8;2658.71
28 3/4;2674.85
28 7/8;2691.02
